fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
1,1,4,6,2,5,4,3,4.5,28000,30,1,41.41700405,44460,43.67198582,33840
4,4,1,2,3,4,5,2,2.25,29000,49,1,35.82883417,50565,27.49827424,47805
1,1,4,5,2,5,2,5,4.75,30000,51,2,24.90955318,138645,21.18647406,45690
7,4,1,1,3,4,6,1,1.75,30000,26,1,33.33700721,70770,33.58878505,64200
5,5,2,2,2,5,5,2,2.75,30000,30,2,24.42250139,81195,12.00228833,65550
4,4,2,4,3,4,3,4,3.5,30000,27,1,29.83218654,78480,16.89247312,69750
5,5,3,3,2,5,4,3,3.5,30000,42, ,35.83996256,64110,35.10967955,45405
4,4,4,4,2,5,4,3,4,30000,27,1,24.27901563,45105,8.315608919,34980
2,2,6,6,4,3,4,3,4.5,30000,38,2,20.14596671,70290,17.42579324,29310
5,5,4,5,1,6,1,6,5.25,30000,30,2,27.93220339,35400,40.98259924,55170
5,3,2,3,2,5,4,3,3.25,30000,22,1,43.61615655,59790,41.04887362,78570
3,3,4,4,1,6,2,5,4.75,30000,29,2,41.65065167,58695,19.30769231,39000
3,2,5,4,1,6,3,4,4.75,30000,40,1,29.69863014,48180,31.52882206,59850
4,4,5,5,1,6,3,4,5,31000,33,1,32.67265567,60945,35.3559322,53100
1,1,5,5,3,4,5,2,4,32000,26,1,23.14409222,78075,26.16342499,67095
3,4,4,5,1,6,2,5,5,32000,32,2,26.7694562,46065,25.03986711,22575
3,3,4,5,2,5,2,5,4.75,35000,28,1,40.67775515,66285,31.0496614,33225
6,4,3,5,1,6,4,3,4.25,35000,29,1,33.72301136,42240,21.56216216,27750
3,4,4,4,2,5,4,3,4,35000,29,2,29.30052292,97530,14.2972973,49950
1,1,6,6,1,6,1,6,6,35000,32,2,38.45111492,43725,24.64822134,37950
1,1,5,6,1,6,1,6,5.75,35000,35,2,46.49834254,67875,12.85435169,42225
1,1,6,6,1,6,2,5,5.75,35000,38,1,43.58001822,49395,22.58391608,25740
3,2,4,5,2,5,2,5,4.75,35000,27,2,30.54777194,77085,32.20205479,43800
3,4,4,4,3,4,3,4,4,36000,48,1,40.03622342,64185,34.6953125,38400
8,8,1,1,6,1,6,1,1,37000,69,1,26.79867144,58710,32.89548694,94725
1,1,5,6,1,6,5,2,4.75,37000,39,1,31.62627499,73530,36.18298714,75825
2,3,1,1,4,3,6,1,1.5,37000,25,2,35.39523632,40305,33.95009242,40575
4,3,4,5,2,5,2,5,4.75,38000,53,2,42.78843227,59130,16.66253102,60450
3,3,4,6,2,5,3,4,4.75,38000,32,2,32.80142303,46380,20.23291036,36645
4,4,4,4,3,4,4,3,3.75,38000,28,1,56.17495712,69960,10.78571429,25200
2,2,4,4,1,6,4,3,4.25,38000,26,2,36.42785731,66015,39.49192219,45495
7,3,4,5,1,6,4,3,4.5,39000,25,2,29.45167286,64560,23.2278481,47400
5,5,1,3,3,4,4,3,2.75,40000,58,1,30.15489415,71565,40.39805825,54075
1,1,6,6,1,6,1,6,6,40000,52,2,43.40979853,65520,28.5982411,139860
1,1,5,6,1,6,5,2,4.75,40000,60,1,35.93799079,55395,30.74386724,41580
1,1,6,6,2,5,4,3,5,40000,25,1,30.97039474,45600,32.55216285,29475
5,7,1,4,1,6,5,2,3.25,40000,63,1,37.90006737,66795,28.32291667,43200
2,3,5,5,2,5,5,2,4.25,40000,28,1,32.24583167,112455,17.18551367,40590
2,2,6,5,2,5,4,3,4.75,40000,38,1,33.79841897,56925,17.65113759,27690
5,6,2,3,3,4,6,1,2.5,40000,25,1,42.57056452,74400,21.83606557,27450
2,3,5,5,3,4,5,2,4,40000,29,2,35.95983087,70950,5.214431785,51345
5,5,4,4,2,5,2,5,4.5,40000,27,1,32.35207555,68295,29.23127036,46050
5,5,5,4,3,4,3,4,4.25,40000,35,2,37.88801572,38175,12.58139535,32250
1,1,6,6,3,4,4,3,4.75,40000,25,1,31.09933775,27180,31.9707113,35850
1,1,5,5,2,5,2,5,5,40000,34,2,27.86590979,48885,23.52938171,29355
3,3,3,4,1,6,3,4,4.25,40000,34,2,36.02023199,55605,20.34925201,52140
3,3,4,4,2,5,3,4,4.25,40000,51,1,33.3273906,46275,35.15948963,94050
9,9,1,1,6,1,6,1,1,40000,31,1,36.92307692,72150,26.58333333,99000
2,3,3,5,2,5,3,4,4.25,40000,45,2,37.94692737,53700,26.46455179,62415
5,4,3,4,3,4,4,3,3.5,40000,25,2,20.83934426,45750,25.10786942,95115
1,1,5,5,1,6,4,3,4.75,40000,26,1,35.45590682,54090,23.19074334,53475
3,3,4,4,2,5,3,4,4.25,40000,28,1,34.1054823,43230,10.77570093,48150
3,3,4,5,1,6,5,2,4.25,40000,32,2,42.25247237,51570,18.42631579,28500
8,8,6,6,1,6,3,4,5.5,40000,52,2,41.0845987,69150,33.09370425,51225
2,2,4,4,1,6,3,4,4.5,40000,28,1,42.29324547,54630,33.37646272,44865
1,1,4,6,1,6,6,1,4.25,40000,31,2,32.02507193,72990,20.35170302,39195
4,4,4,3,2,5,6,1,3.25,42000,28,1,30.50016728,44835,22.36780259,51060
7,5,1,1,5,2,6,1,1.25,42000,34,1,48.00863132,48660,21.46236559,27900
5,5,5,5,5,2,4,3,3.75,43000,47,2,38.76241358,47730,19.78793336,33315
3,3,6,6,1,6,3,4,5.5,44000,28,2,38.25589837,41325,21.50498981,139785
3,3,5,5,2,5,3,4,4.75,44000,31,2,30.46346117,78615,29.68342761,71595
7,6,6,4,1,6,5,2,4.5,45000,44,2,41.31944444,64800,13.67824925,44895
5,5,3,2,3,4,5,2,2.75,45000,28,2,30.25464812,108915,23.58581236,65550
1,1,4,5,1,6,1,6,5.25,45000,49,2,24.26326531,73500,35.04857031,38295
2,2,4,5,3,4,2,5,4.5,45000,54,2,35.92980437,65175,16.31137725,50100
1,1,5,2,1,6,2,5,4.5,45000,30,2,24.43445505,29865,22.27165354,38100
1,1,6,6,1,6,1,6,6,45000,36,1,41.1664,46875,22.23281596,33825
3,2,4,4,1,6,5,2,4,45000,38,1,44.81549815,60975,17.95774648,41535
1,1,6,6,1,6,2,5,5.75,45000,29,2,37.03303965,68100,29.69955157,30105
1,1,5,6,1,6,3,4,5.25,45900,49,1,37.67662853,64245,30.79830255,30045
1,1,6,6,1,6,4,3,5.25,46000,29,1,56.54144621,42525,2,12000
2,3,5,4,2,5,3,4,4.5,47000,32,2,33.37252619,64425,22.93076923,39000
3,3,6,6,1,6,4,3,5.25,48000,31,2,41.54192155,41685,40.9165536,88440
1,1,2,5,3,4,4,3,3.5,48000,53,1,35.66390945,68910,23.29466707,49785
3,1,6,5,3,4,2,5,5,48000,27,1,36.65783133,31125,11.72072072,33300
5,3,1,1,2,5,2,5,3,49000,56,1,28.78104462,86730,5.182320442,54300
6,7,3,3,4,3,4,3,3,50000,29,2,51.60697306,56790,35.19973487,67890
6,5,5,6,6,1,6,1,3.25,50000,26,2,23.11225997,50775,30.75122939,51855
3,3,3,3,4,3,4,3,3,50000,55,2,32.64557382,90315,18.47637795,76200
1,1,4,5,1,6,3,4,4.75,50000,29,2,48.35632184,39150,30.00449583,23355
8,5,2,3,4,3,5,2,2.5,50000,54,2,42.59968354,75840,14.39100486,74040
3,2,5,6,2,5,2,5,5.25,50000,49,2,40.2054986,64380,39.74893789,74145
3,3,5,5,5,2,5,2,3.5,50000,24, ,16.875,15360,41.98499062,31980
8,8,1,1,5,2,5,2,1.5,50000,49,2,33.55141844,84600,21.53020134,111750
1,1,1,6,1,6,1,6,4.75,50000,29,2,31.74797115,66540,15.67711599,47850
5,4,4,4,3,4,4,3,3.75,50000,36,1,33.35986159,65025,40.58460385,60015
5,3,1,2,2,5,2,5,3.25,50000,25,1,15.19008264,14520,17.55555556,16200
3,3,4,5,2,5,3,4,4.5,50000,25,2,37.78109453,60300,39.4123506,75300
3,3,3,5,3,4,4,3,3.75,51000,63,1,32.7438539,64065,29.47024673,51675
3,3,5,5,2,5,2,5,5,51000,24,1,38.21568627,57375,25.87096774,46500
3,3,4,4,3,4,4,3,3.75,52000,26,1,38.50786838,52425,33.55376344,55800
2,1,6,6,4,3,3,4,4.75,55000,51,2,34.56751055,42660,23.5754643,57345
5,5,4,3,1,6,5,2,3.75,55000,34,1,34.62206528,78585,13.42698332,59370
2,2,5,4,1,6,1,6,5.25,55000,25,1,42.13075123,57705,29.04918033,91500
5,5,3,5,2,5,4,3,4,56000,27,2,24.23741007,20850,9.594095941,40650
9,1,5,6,1,6,5,2,4.75,56000,44,1,36.23499142,69960,17.25641026,58500
3,3,3,5,2,5,3,4,4.25,58000,50,1,33.5111331,60630,25.58008871,60870
9,9,2,3,4,3,6,1,2.25,58000,28,1,37.65352333,76845,24.03012048,49800
3,3,2,4,3,4,5,2,3,59000,40,1,36.47760763,51915,28.73928571,42000
3,3,5,6,1,6,4,3,5,59000,25,1,30.11276701,60390,18.11440108,55725
5,5,1,4,4,3,5,2,2.5,60000,34,2,35.01610018,67080,17.74185464,59850
2,2,5,5,2,5,2,5,5,60000,31,2,30.92491956,41955,12.32082552,79950
9,8,4,2,6,1,5,2,2.25,60000,34,2,39.18554587,58530,25.58205054,51645
9,9,1,1,6,1,6,1,1,60000,29,1,34.57193313,63705,36.95440574,58560
5,5,4,4,3,4,3,4,4,60000,56,2,34.54537189,82485,25.58847403,36960
1,1,5,4,1,6,2,5,5,60000,62,2,33.67408811,63330,23.29829372,98460
5,4,2,4,3,4,5,2,3,60000,27,2,23.55072464,87975,18.8057554,62550
7,7,2,4,3,4,6,1,2.75,60000,25,1,38.26022305,48420,16.66159788,62145
3,3,4,4,2,5,3,4,4.25,61000,38,1,35.14124718,59895,33.95016077,55980
2,1,4,6,1,6,3,4,5,62000,57,1,36.35193972,53745,30.87301587,51975
5,5,5,4,5,2,5,2,3.25,62000,24,1,32.63333333,58500,14.76699029,46350
4,3,3,3,3,4,4,3,3.25,63000,67,1,40.98475997,59055,31.75231788,56625
5,4,2,3,2,5,3,4,3.5,63000,29,2,32.49787475,52935,13.58795181,62250
5,5,4,4,4,3,4,3,3.5,63000,29,1,16.89069172,17565,36.47826087,51750
5,5,3,3,2,5,4,3,3.5,65000,33,1,41.70838881,56325,11.76202296,48345
8,8,1,1,2,5,5,2,2.25,65000,64,2,40.96212121,59400,35.49203231,68715
4,4,3,4,3,4,4,3,3.5,65000,35,2,15.64043716,68625,10.0373444,72300
2,5,3,4,2,5,4,3,3.75,65000,68,1,40.69764838,66975,24.5,42000
5,5,3,4,2,5,5,2,3.5,68000,43,1,29.63888889,59400,26.64536823,58455
4,4,4,4,1,6,2,5,4.75,70000,40,2,35.03073967,78075,38.37211855,68325
5,5,4,4,2,5,3,4,4.25,70000,59,1,28.08548977,110715,20.07795958,77925
4,4,4,5,2,5,5,2,4,70000,25,1,35.1301908,66825,18.7250996,75300
7,7,2,1,3,4,6,1,2,70000,26,2,33.6521265,68775,12.90736842,71250
1,1,6,6,1,6,1,6,6,71000,54,2,39.0781933,61770,26.70438741,118635
5,5,4,4,4,3,4,3,3.5,71000,28,1,28.08591885,62850,14.30415755,68550
1,1,5,6,1,6,5,2,4.75,72000,27,2,30.75578406,58350,21.01769912,50850
3,3,1,2,2,5,5,2,2.5,73000,31,2,33.83200531,45180,19.22276622,61275
7,7,2,3,2,5,6,1,2.75,73000,32,1,35.04424779,67800,31.99625312,72060
5,5,1,1,6,1,6,1,1,74000,44,1,36.3258511,40095,21.86227545,50100
